,Name,ReleaseDate,Price,Copies Sold,Gross Revenue,Average Playtime (Hrs),PublisherClass,Publishers,Developers,Review Count,Review Score,Steam Followers,Early Access,Steam Id,Tags
,Black Myth: Wukong,8/19/2024,$59.99,"21,836,817.00","$951,505,160.00",60.4,AAA,Game Science,Game Science,810005,96%,1231945,FALSE,2358720,"[""Mythology"",""Action RPG"",""Action"",""Souls-like"",""RPG"",""Combat"",""Story Rich"",""Singleplayer"",""Drama"",""Action-Adventure"",""Dark Fantasy"",""Atmospheric"",""Adventure"",""3D"",""Fantasy"",""Hack and Slash"",""Third Person"",""Difficult"",""Music"",""Violent""]"
,HELLDIVERS 2,2/8/2024,$39.99,"12,410,685.00","$443,622,746.00",63.4,AAA,PlayStation Publishing LLC,Arrowhead Game Studios,701449,75%,382242,FALSE,553850,"[""Online Co-Op"",""PvE"",""Multiplayer"",""Third-Person Shooter"",""Action"",""Shooter"",""Co-op"",""Sci-fi"",""Capitalism"",""Space"",""Extraction Shooter"",""Third Person"",""Comedy"",""Gore"",""Violent"",""Great Soundtrack"",""Difficult"",""Psychological Horror"",""Singleplayer"",""Open World""]"
,Palworld,1/18/2024,$29.99,"18,567,241.00","$435,465,541.00",63.4,AA,Pocketpair,Pocketpair,304668,94%,561395,TRUE,1623730,"[""Open World"",""Survival"",""Creature Collector"",""Multiplayer"",""Open World Survival Craft"",""Crafting"",""Co-op"",""Adventure"",""Sandbox"",""Third-Person Shooter"",""Automation"",""Action"",""RPG"",""Early Access"",""Anime"",""PvE"",""3D"",""Indie"",""Looter Shooter"",""Hack and Slash""]"
,"Warhammer 40,000: Space Marine 2",9/9/2024,$59.99,"2,709,725.00","$142,612,930.00",28.2,AAA,Focus Entertainment,Saber Interactive,105554,83%,253351,FALSE,2183900,"[""Warhammer 40K"",""Action"",""Third-Person Shooter"",""Multiplayer"",""Co-op"",""PvE"",""Adventure"",""Action-Adventure"",""Third Person"",""Wargame"",""Sci-fi"",""3D"",""Fantasy"",""War"",""Space"",""Narration"",""Singleplayer"",""Realistic"",""Cinematic"",""Futuristic""]"
,Path of Exile 2,12/6/2024,$29.99,"5,015,358.00","$135,369,527.00",69.1,AA,Grinding Gear Games,Grinding Gear Games,79497,81%,111828,TRUE,2694490,"[""Action RPG"",""Hack and Slash"",""Souls-like"",""Action"",""RPG"",""Dark Fantasy"",""Isometric"",""Loot"",""Dungeon Crawler"",""Adventure"",""MMORPG"",""Free to Play"",""Multiplayer"",""Online Co-Op"",""Crafting"",""Character Customization"",""Horror"",""Inventory Management"",""Early Access"",""Dark""]"
,The First Descendant,6/30/2024,$0.00,"3,772,982.00","$113,736,614.00",83.6,AA,NEXON,"NEXON Games Co., Ltd.",96987,57%,256564,FALSE,2074920,"[""Free to Play"",""Sexual Content"",""Looter Shooter"",""Multiplayer"",""Third-Person Shooter"",""RPG"",""Online Co-Op"",""Action"",""Shooter"",""Third Person"",""Action RPG"",""Singleplayer"",""Adventure"",""Character Customization"",""Co-op"",""Sci-fi"",""PvE"",""Story Rich"",""Combat"",""Violent""]"
,Dragon's Dogma 2,3/21/2024,$69.99,"1,902,348.00","$112,065,398.00",41.9,AAA,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",67982,61%,207097,FALSE,2054970,"[""Open World"",""RPG"",""Action RPG"",""Fantasy"",""Action"",""Singleplayer"",""Adventure"",""Dragons"",""Action-Adventure"",""Magic"",""Medieval"",""Character Customization"",""Swordplay"",""Third Person"",""Physics"",""Artificial Intelligence"",""Lore-Rich"",""Multiplayer"",""3D"",""PvE""]"
,THRONE AND LIBERTY,10/1/2024,$0.00,"3,623,786.00","$98,651,549.00",87.2,AAA,Amazon Games,NCSOFT,58061,69%,137410,FALSE,2429640,"[""MMORPG"",""Free to Play"",""Massively Multiplayer"",""RPG"",""Open World"",""Fantasy"",""PvP"",""Character Customization"",""PvE"",""Action"",""Adventure"",""Multiplayer"",""Third Person"",""Exploration"",""Action-Adventure"",""Online Co-Op"",""Combat"",""Crafting"",""Co-op"",""Emotional""]"
,EA SPORTS FC 25,9/26/2024,$69.99,"1,947,520.00","$94,133,393.00",76.1,AAA,Electronic Arts,EA Canada & EA Romania,36830,47%,41689,FALSE,2669320,"[""Sports"",""Simulation"",""Football (Soccer)"",""Controller"",""Multiplayer"",""eSports"",""Competitive"",""Local Co-Op"",""Family Friendly"",""Local Multiplayer"",""Online Co-Op"",""Singleplayer"",""Modern"",""PvP"",""Realistic"",""Co-op"",""Soundtrack"",""Split Screen"",""Free to Play"",""LGBTQ+""]"
,Call of Duty: Black Ops 6,10/23/2024,$69.99,"1,405,351.00","$86,828,933.00",0,AAA,Activision,"Treyarch,Raven Software,Beenox,High Moon Studios,Activision Shanghai,Sledgehammer Games,Infinity Ward,Demonware",9433,51%,,FALSE,2933620,"[""Action"",""Multiplayer"",""Shooter"",""FPS"",""Singleplayer"",""First-Person"",""Military"",""PvP"",""War"",""Capitalism"",""Violent"",""Gore"",""Story Rich"",""Co-op"",""Artificial Intelligence"",""Realistic"",""PvE"",""Online Co-Op"",""Open World"",""Romance""]"
