Name,Genre
Black Myth: Wukong,Action-Adventure
HELLDIVERS 2,Shooter
Palworld,Sandbox
"Warhammer 40,000: Space Marine 2",Shooter
Path of Exile 2,Role-Playing
The First Descendant,Shooter
Dragon's Dogma 2,Action-Adventure
THRONE AND LIBERTY,MMO
EA SPORTS FC 25,Sports
Call of Duty: Black Ops 6,Shooter
DRAGON BALL: Sparking! ZERO,Fighting
Granblue Fantasy: Relink,Role-Playing
S.T.A.L.K.E.R. 2: Heart of Chornobyl,Shooter
Ghost of Tsushima DIRECTOR'S CUT,Action-Adventure
Manor Lords,Strategy
Enshrouded,Sandbox
Once Human,Sandbox
TEKKEN 8,Fighting
Hades II,Role-Playing
Persona 3 Reload,Role-Playing
Marvel Rivals,Shooter
Dragon Age: The Veilguard,Role-Playing
Gray Zone Warfare,MMO
Farming Simulator 25,Simulation
Metaphor: ReFantazio,Role-Playing
NBA 2K25,Sports
Horizon Forbidden West Complete Edition,Role-Playing
Like a Dragon: Infinite Wealth,Role-Playing
,
Supermarket Simulator,Simulation
SILENT HILL 2,Sandbox
God of War Ragnar,Action-Adventure
Chained Together,Platform
Bodycam,Shooter
TCG Card Shop Simulator,Simulation
FINAL FANTASY XVI,Role-Playing
Frostpunk 2,Sandbox
Liar's Bar,Board Game
No Rest for the Wicked,Role-Playing
Summoners War,MMO
Lust Goddess,Board Game
F1 24,Racing
Microsoft Flight Simulator 2024,Simulation
MiSide,Adventure
Age of Mythology: Retold,Strategy
DRAGON QUEST III HD-2D Remake,Role-Playing
Content Warning,Sandbox
Indiana Jones and the Great Circle,Action-Adventure
Shin Megami Tensei V: Vengeance,Role-Playing
Dark and Darker,Role-Playing
Abiotic Factor,Sandbox
Pacific Drive,Sandbox
Dead Island 2,Role-Playing
Deep Rock Galactic: Survivor,Shooter
Planet Coaster 2,Simulation
Nightingale,Sandbox
Suicide Squad: Kill the Justice League,Action-Adventure
EARTH DEFENSE FORCE 6,Shooter
Nine Sols,Platform
Crime Scene Cleaner,Simulation
WWE 2K24,Sports
Bellwright,Sandbox
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,Role-Playing
The Forever Winter,Shooter
Soulmask,Sandbox
Infection Free Zone,Sandbox
ANIMAL WELL,Platform
Sins of a Solar Empire II,Strategy
EA SPORTS Madden NFL 25,Sports
SONIC X SHADOW GENERATIONS,Platform
GUNDAM BREAKER 4,Action
Legend of Mortal,Role-Playing
Red Dead Redemption,Action-Adventure
Another Crab's Treasure,Role-Playing
Buckshot Roulette,Board Game
Palia,MMO
Backpack Battles,Strategy
Fields of Mistria,Simulation
Homeworld 3,Strategy
LOCKDOWN Protocol,Board Game
shapez 2,Simulation
Pixel Gun 3D: PC Edition,Shooter
Winter Memories,Role-Playing
Tiny Glade,Sandbox
Witchfire,Shooter
STAR WARS: Battlefront Classic Collection,Shooter
Romancing SaGa 2: Revenge of the Seven,Role-Playing
Norland,Simulation
Senua Saga: Hellblade II,Action-Adventure
ROMANCE OF THE THREE KINGDOMS 8 REMAKE,Strategy
"Little Kitty, Big City",Adventure
Aeons Echo,Role-Playing
Kebab Chefs! - Restaurant Simulator,Simulation
Mouthwashing,Adventure
Sky: Children of the Light,MMO
Le Mans Ultimate,Racing
Outpost: Infinity Siege,Strategy
Apollo Justice: Ace Attorney Trilogy,Visual Novel
The Lord of the Rings: Return to Moria,Sandbox
MechWarrior 5: Clans,Role-Playing
 Life is Strange: Double Exposure,Adventure
Luma Island,Simulation
The Hungry Lamb: Traveling in the Late Ming Dynasty,Visual Novel
WEBFISHING,Party
Windblown,Action
F1 Manager 2024,Sports
Kingdom Rush 5: Alliance TD,Strategy
Banishers: Ghosts of New Eden,Role-Playing
ASKA,Sandbox
Assassin's Creed Mirage,Action-Adventure
The Crew Motorfest,Racing
Eiyuden Chronicle: Hundred Heroes,Role-Playing
Men of War II,Strategy
Drug Dealer Simulator 2,Simulation
SMITE 2,Strategy
Visions of Mana,Role-Playing
Tomb Raider I-III Remastered Starring Lara Croft,Action-Adventure
Expeditions: A MudRunner Game,Simulation
SWORD ART ONLINE Fractured Daydream,Visual Novel
Millennia,Strategy
Dead Rising Deluxe Remaster,Action-Adventure
The Casting of Frank Stone,Adventure
Goat Simulator 3,Simulation
Horizon Zero Dawn Remastered,Role-Playing
Test Drive Unlimited Solar Crown,Racing
Rotwood,Fighting
New Cycle,Simulation
Enlisted,Shooter
Terminator: Dark Fate - Defiance,Strategy
Until Dawn,Action-Adventure
Taxi Life: A City Driving Simulator,Simulation
MARVEL vs. CAPCOM Fighting Collection: Arcade Classics,Fighting
Star Wars Outlaws,Action-Adventure
Avatar: Frontiers of Pandora,Action-Adventure
SOUTH PARK: SNOW DAY!,Action-Adventure
Alone in the Dark,Action-Adventure
FOUNDRY,Simulation
Feed the Cups,Party
UNDER NIGHT IN-BIRTH II Sys:Celes,Fighting
The Thaumaturge,Role-Playing
Cataclismo,Strategy
Ace Attorney Investigations Collection,Visual Novel
Jujutsu Kaisen Cursed Clash,Fighting
Ara: History Untold,Strategy
Harry Potter: Quidditch Champions,Sports
Kunitsu-Gami: Path of the Goddess,Strategy
Prince of Persia The Lost Crown,Action-Adventure
Command & Conquer Red Alert 2 and Yuri Revenge,Strategy
Command & Conquer Generals Zero Hour,Strategy
Command & Conquer Generals,Strategy
